source,target,value
Terhi Koipijärvi,Ponsse,2
Terhi Koipijärvi,Metso,2
Timo Mänty,NoHo Partners,2
Timo Mänty,KH Group,2
Jukka Leinonen,Pihlajalinna,2
Jukka Leinonen,Lassila & Tikanoja,2
Heikki Länsisyrjä,PunaMusta Media,2
Heikki Länsisyrjä,Digital Workforce Services,2
Timo Lappi,Fondia,2
Timo Lappi,Witted Megacorp,2
Ann-Christine Sundell,Revenio,2
Ann-Christine Sundell,Raisio,2
Teemu Kangas-Kärki,Marimekko,2
Teemu Kangas-Kärki,Lassila & Tikanoja,2
Tarja  Pääkkönen,United Bankers,2
Tarja  Pääkkönen,Panostaja,2
Tapani Rautiainen,Ovaro Kiinteistösioitus,2
Tapani Rautiainen,Investors House,2
Kaarina Ståhlberg,Aspo,2
Kaarina Ståhlberg,Vaisala,2
Kai Telanne,Robit,2
Kai Telanne,Teleste,2
Piia-Noora Kauppi,Gofore,2
Piia-Noora Kauppi,UPM-Kymmene,2
Taina Ahvenjärvi,Ovaro Kiinteistösioitus,2
Taina Ahvenjärvi,Investors House,2
Esa Lager,Alma Media,2
Esa Lager,Ilkka,2
Hanna Maria Sievinen,Taaleri,2
Hanna Maria Sievinen,Koskisen,2
Petri Castrén,Taaleri,2
Petri Castrén,Vaisala,2
Pasi Laine,Neste,2
Pasi Laine,Konecranes,2
Petri Roininen,Investors House,2
Petri Roininen,Ovaro Kiinteistösioitus,2
Jarmo Halonen,BBS-Bioactive Bone Substitutes,2
Jarmo Halonen,Elecster,2
Teresa Kemppi-Vasama,Kempower,2
Teresa Kemppi-Vasama,Cargotec,2
Mika Ihamuotila,Sanoma,2
Mika Ihamuotila,Marimekko,2
Sari Helander,Evli,2
Sari Helander,Enersense,2
Henri Österlund,Remedy Entertainment,2
Henri Österlund,SSAB Communications Security,2
Risto Murto,Nordea,2
Risto Murto,Sampo,2
Timo Kohtamäki,Kreate,2
Timo Kohtamäki,Honkarakenne,2
Klaus Cawén,Sanoma,2
Klaus Cawén,Metso,2
Paul Ehrnrooth,Digitalist,2
Paul Ehrnrooth,Fiskars,2
Petri  Kärkkäinen,Toivo,2
Petri  Kärkkäinen,Titanium,2
Jostein Vik,LeadDesk,2
Jostein Vik,Heeros,2
Pekka Vauramo,Nokian Renkaat,2
Pekka Vauramo,Huhtamäki,2
Mikko Kuitunen,Robit,2
Mikko Kuitunen,Vincit,2
Irmeli Rytkönen,Verkkokauppa.com,2
Irmeli Rytkönen,Nurminen Logistics,2
Heikki Westerlund,Oriola,2
Heikki Westerlund,Aspo,2
Risto Siilasmaa,F-Secure,2
Risto Siilasmaa,Withsecure,2
Päivi Marttila,Reka Industrial,2
Päivi Marttila,Aspocomp,2
Kaj Hagros,Loihde,2
Kaj Hagros,Inderes,2
Patrick Lapveteläinen,Mandatum,2
Patrick Lapveteläinen,Enento,2
Petri Rignell,Kreate,2
Petri Rignell,Consti,2
Harri Tahkola,Toivo,2
Harri Tahkola,Talenom,2
Matti Kähkönen,Kemira,2
Matti Kähkönen,Neste,2
Mikael Aro,Caverion,2
Mikael Aro,Kojamo,2
Mikael Mäkinen,SSAB,2
Mikael Mäkinen,Valmet,2
Timur Kärki,Modulight,2
Timur Kärki,Gofore,2
Eeva-Liisa Virkkunen,Robit,2
Eeva-Liisa Virkkunen,Sotkamo Silver,2
Sanna Suvanto-Harsaae,Finnair,2
Sanna Suvanto-Harsaae,Orthex,2
Pertti Ervi,F-Secure,2
Pertti Ervi,QPR Software,2
Harri Suutari,PunaMusta Media,2
Harri Suutari,Componenta,2
Kari Jordan,Stora Enso,2
Kari Jordan,Outokumpu,2
Luisa Delgado,Fortum,2
Luisa Delgado,Telia Company,2
